Subject,Predicate,Object
obsolete contains,seealso,693
continuous with,seealso,fma:85972
in taxon,seealso,taxon-constraints
has component,seealso,submissions:componency
capable of part of,seealso,nan
characteristic of part of,seealso,nan
acts upstream of,seealso,acts_upstream_of
results in developmental progression of,seealso,ontology_extensions
"causally upstream of, positive effect",seealso,"causally_upstream_of,_positive_effect"
"causally upstream of, negative effect",seealso,"causally_upstream_of,_negative_effect"
in branching relationship with,seealso,branching_part_of.png
tributary of,seealso,drainsto
biotically interacts with,seealso,j.ecoinf.2014.08.005
depends on,seealso,bfo_0000169
"causally upstream of or within, positive effect",seealso,"causally_upstream_of_or_within,_positive_effect"
constructed monument,seealso,1213
hot dog,seealso,foodon_03307053
cheese food product,seealso,9781555818593.chap3
cheese food product,seealso,microbiolspec.cm-0003-2012
emmenthal cheese,seealso,?b=1&d=1&t=main&s=emmental&r=all
solanaceous root food product,seealso,tuber
prepared food product,seealso,retailer-eligibility-prepared-foods-and-heated-foods
algal food product,seealso,the-seaweed-manifesto.pdf
cowpea (pulse) food product,seealso,cowpea vegetable food product
spice or herb,seealso,1.01
milk or milk based food product,seealso,/media/file:milkproducts.svg
vegetable food product,seealso,nan
custard dessert food product,seealso,list_of_custard_desserts
bean food product,seealso,foodon_00002428
bean food product,seealso,4.02
bean food product,seealso,the-importance-of-dry-beans-in-your-diet.pdf
plant fat or oil refined food product,seealso,v4700e0a.htm
prepared chicken egg product,seealso,nan
cheese or cheese product (us cfr),seealso,text-idx?node=pt21.2.133
gs1 global product classification (gpc),seealso,gdsn_mandatory_attributes_simplified_tk.ppt
gs1 global product classification (gpc),seealso,gdsn_trade_item_implementation_guide.pdf
western australian mulga shrublands ecoregion,part of,australasia ecoregion
tirari-sturt stony desert ecoregion,part of,australasia ecoregion
simpson desert region,part of,australasia ecoregion
pilbara shrublands ecoregion,part of,australasia ecoregion
carnarvon xeric shrublands ecoregion,part of,australasia ecoregion
central ranges xeric shrub ecoregion,part of,australasia ecoregion
gibson desert ecoregion,part of,australasia ecoregion
the great sandy-tanami desert ecoregion,part of,australasia ecoregion
great victoria desert ecoregion,part of,australasia ecoregion
nullarbor plains xeric shrubland ecoregion,part of,australasia ecoregion
succulent karoo ecoregion,part of,afrotropical ecoregion
yemen and saudi arabia ecoregion,part of,afrotropical ecoregion
"yemen, saudi arabia, and oman ecoregion",part of,afrotropical ecoregion
somali montane xeric woodland ecoregion,part of,afrotropical ecoregion
socotran archipelago ecoregion,part of,afrotropical ecoregion
red sea coastal desert ecoregion,part of,afrotropical ecoregion
namibian savanna woodland ecoregion,part of,afrotropical ecoregion
namib desert ecoregion,part of,afrotropical ecoregion
nama karoo ecoregion,part of,afrotropical ecoregion
masai xeric grasslands and shrublands ecoregion,part of,afrotropical ecoregion
madagascar succulent woodlands ecoregion,part of,afrotropical ecoregion
madagascar spiny thickets ecoregion,part of,afrotropical ecoregion
kaokoveld desert ecoregion,part of,afrotropical ecoregion
kalahari xeric savanna ecoregion,part of,afrotropical ecoregion
ile europa and bassas da india ecoregion,part of,afrotropical ecoregion
hobyo grassland and shrubland ecoregion,part of,afrotropical ecoregion
oman and united arab emirates ecoregion,part of,afrotropical ecoregion
ethiopian xeric grasslands and shrublands ecoregion,part of,afrotropical ecoregion
eritrean coastal desert ecoregion,part of,afrotropical ecoregion
east saharan montane xeric woodland ecoregion,part of,afrotropical ecoregion
"oman, yemen, and saudi arabia ecoregion",part of,afrotropical ecoregion
aldabra island xeric scrub ecoregion,part of,afrotropical ecoregion
thar desert,part of,indo-malay ecoregion
northwestern thorn scrub forests,part of,indo-malay ecoregion
world ocean,part of,earth
realized in,isdefinedby,bfo.owl
occurs in,isdefinedby,bfo.owl
contains process,isdefinedby,bfo.owl
realizes,isdefinedby,iao.owl
part of,inverseof,has part
realized in,inverseof,realizes
preceded by,inverseof,precedes
occurs in,inverseof,contains process
characteristic of,inverseof,has characteristic
participates in,inverseof,has participant
is concretized as,inverseof,concretizes
function of,inverseof,has function
quality of,inverseof,has quality
role of,inverseof,has role
has disposition,inverseof,disposition of
derives from,inverseof,derives into
location of,inverseof,located in
during which ends,inverseof,ends during
encompasses,inverseof,happens during
immediately preceded by,inverseof,immediately precedes
during which starts,inverseof,starts during
develops from,inverseof,develops into
directly develops from,inverseof,directly develops into
regulates,inverseof,regulated by
negatively regulates,inverseof,negatively regulated by
positively regulates,inverseof,positively regulated by
surrounded by,inverseof,surrounds
starts,inverseof,starts with
ends,inverseof,ends with
has input,inverseof,input of
has output,inverseof,output of
has developmental contribution from,inverseof,developmentally contributes to
developmentally preceded by,inverseof,developmentally succeeded by
results in formation of anatomical entity,inverseof,formed as result of
member of,inverseof,has member
causally downstream of,inverseof,causally upstream of
causally upstream of or within,inverseof,causally downstream of or within
acquires nutrients from,inverseof,provides nutrients for
causal agent in process,inverseof,process has causal agent
determined by,inverseof,determines
causally influenced by,inverseof,causally influences
produces,inverseof,produced by
generically depends on,inverseof,is carrier of
part of,editor preferred term~editor preferred label,is part of
has part,editor preferred term~editor preferred label,has part
realized in,editor preferred term~editor preferred label,realized in
realizes,editor preferred term~editor preferred label,realizes
preceded by,editor preferred term~editor preferred label,preceded by
precedes,editor preferred term~editor preferred label,precedes
occurs in,editor preferred term~editor preferred label,occurs in
contains process,editor preferred term~editor preferred label,site of
characteristic of,editor preferred term~editor preferred label,inheres in
has characteristic,editor preferred term~editor preferred label,bearer of
participates in,editor preferred term~editor preferred label,participates in
has participant,editor preferred term~editor preferred label,has participant
location of,editor preferred term~editor preferred label,is location of
obsolete contained in,editor preferred term~editor preferred label,contained in
obsolete contains,editor preferred term~editor preferred label,contains
located in,editor preferred term~editor preferred label,located in
envo.owl,description,"envo is an ontology which represents knowledge about environments,environmental processes, ecosystems, habitats, and related entities"
hot dog,image,640px-hotdog_-_evan_swigart.jpg
beef (ground),image,631px-hackfleisch-1.jpg
continuant,disjointwith,occurrent
independent continuant,disjointwith,specifically dependent continuant
independent continuant,disjointwith,generically dependent continuant
specifically dependent continuant,disjointwith,generically dependent continuant
spatial region,disjointwith,site
spatial region,disjointwith,continuant fiat boundary
temporal region,disjointwith,spatiotemporal region
temporal region,disjointwith,process
temporal region,disjointwith,process boundary
disposition,disjointwith,role
realizable entity,disjointwith,quality
material entity,disjointwith,immaterial entity
one-dimensional continuant fiat boundary,disjointwith,two-dimensional continuant fiat boundary
dead cave,disjointwith,live cave
caldera,disjointwith,volcanic crater
meromictic lake,disjointwith,holomictic lake
amictic lake,disjointwith,holomictic lake
marine neritic zone,disjointwith,oceanic zone
crevasse,disjointwith,crevice
particle of sand,disjointwith,sand
silt,disjointwith,sand
biome,disjointwith,ecoregion
biome,disjointwith,ecozone
rock,disjointwith,mineral material
clay,disjointwith,silt
neritic pelagic zone biome,disjointwith,oceanic pelagic zone biome
mudstone,disjointwith,lime mudstone
dimictic lake,disjointwith,polymictic lake
dimictic lake,disjointwith,monomictic lake
polymictic lake,disjointwith,monomictic lake
formal settlement,disjointwith,informal settlement
legal settlement,disjointwith,illegal settlement
research nuclear reactor,disjointwith,nuclear power reactor
closed,disjointwith,open
permeable,disjointwith,impermeable
porous,disjointwith,non-porous
elastic,disjointwith,inelastic
process quality,disjointwith,physical object quality
aerobic,disjointwith,anaerobic
distributed,disjointwith,aggregated
wet,disjointwith,dry
hydrophobicity,disjointwith,hydrophilicity
edible,disjointwith,inedible
plant cell,disjointwith,portion of plant tissue
plant cell,disjointwith,plant organ
portion of plant tissue,disjointwith,plant organ
plant cell,disjointwith,collective plant organ structure
portion of plant tissue,disjointwith,collective plant organ structure
shoot system,disjointwith,root system
organ,disjointwith,multi organ part structure
material anatomical entity,disjointwith,immaterial anatomical entity
acellular anatomical structure,disjointwith,multicellular anatomical structure
skeletal joint,disjointwith,bone element
skeletal system,disjointwith,bone element
reproductive system,disjointwith,respiratory system
reproductive system,disjointwith,digestive system
respiratory system,disjointwith,digestive system
reproductive system,disjointwith,circulatory system
respiratory system,disjointwith,circulatory system
digestive system,disjointwith,circulatory system
reproductive system,disjointwith,nervous system
respiratory system,disjointwith,nervous system
digestive system,disjointwith,nervous system
circulatory system,disjointwith,nervous system
reproductive system,disjointwith,skeletal system
respiratory system,disjointwith,skeletal system
digestive system,disjointwith,skeletal system
circulatory system,disjointwith,skeletal system
nervous system,disjointwith,skeletal system
reproductive system,disjointwith,musculoskeletal system
respiratory system,disjointwith,musculoskeletal system
digestive system,disjointwith,musculoskeletal system
circulatory system,disjointwith,musculoskeletal system
nervous system,disjointwith,musculoskeletal system
skeletal system,disjointwith,musculoskeletal system
reproductive system,disjointwith,hematopoietic system
respiratory system,disjointwith,hematopoietic system
digestive system,disjointwith,hematopoietic system
circulatory system,disjointwith,hematopoietic system
nervous system,disjointwith,hematopoietic system
skeletal system,disjointwith,hematopoietic system
musculoskeletal system,disjointwith,hematopoietic system
reproductive system,disjointwith,immune system
respiratory system,disjointwith,immune system
digestive system,disjointwith,immune system
circulatory system,disjointwith,immune system
nervous system,disjointwith,immune system
skeletal system,disjointwith,immune system
musculoskeletal system,disjointwith,immune system
hematopoietic system,disjointwith,immune system
reproductive system,disjointwith,integumental system
respiratory system,disjointwith,integumental system
digestive system,disjointwith,integumental system
circulatory system,disjointwith,integumental system
nervous system,disjointwith,integumental system
skeletal system,disjointwith,integumental system
musculoskeletal system,disjointwith,integumental system
hematopoietic system,disjointwith,integumental system
immune system,disjointwith,integumental system
reproductive system,disjointwith,entire sense organ system
respiratory system,disjointwith,entire sense organ system
digestive system,disjointwith,entire sense organ system
circulatory system,disjointwith,entire sense organ system
nervous system,disjointwith,entire sense organ system
skeletal system,disjointwith,entire sense organ system
musculoskeletal system,disjointwith,entire sense organ system
hematopoietic system,disjointwith,entire sense organ system
immune system,disjointwith,entire sense organ system
integumental system,disjointwith,entire sense organ system
reproductive system,disjointwith,excretory system
respiratory system,disjointwith,excretory system
digestive system,disjointwith,excretory system
circulatory system,disjointwith,excretory system
nervous system,disjointwith,excretory system
skeletal system,disjointwith,excretory system
musculoskeletal system,disjointwith,excretory system
hematopoietic system,disjointwith,excretory system
immune system,disjointwith,excretory system
integumental system,disjointwith,excretory system
entire sense organ system,disjointwith,excretory system
adipose tissue,disjointwith,neural tissue
muscle tissue,disjointwith,neural tissue
pectoral girdle region,disjointwith,pectoral girdle skeleton
lymphatic vessel,disjointwith,blood vessel
bone element,disjointwith,muscle organ
bone element,disjointwith,muscle structure
bone tissue,disjointwith,muscle structure
optic choroid,disjointwith,anterior uvea
anterior segment of eyeball,disjointwith,posterior segment of eyeball
synovial joint,disjointwith,nonsynovial joint
neural tissue,disjointwith,skeletal tissue
skeleton,disjointwith,articular system
dense connective tissue,disjointwith,loose connective tissue
envo.owl,versioninfo,2025-02-05
cirrus cloud,has_alternative_id,ci
cirrocumulus cloud,has_alternative_id,cc
cirrostratus cloud,has_alternative_id,cs
altocumulus cloud,has_alternative_id,ac
altostratus cloud,has_alternative_id,as
nimbostratus cloud,has_alternative_id,ns
stratocumulus cloud,has_alternative_id,sc
stratus cloud,has_alternative_id,st
cumulus cloud,has_alternative_id,cu
cumulonimbus cloud,has_alternative_id,cb
root epidermis,has_alternative_id,po:0006037
root,has_alternative_id,po:0003006
plant structure development stage,has_alternative_id,po:0007021
envo.owl,versioniri,envo.owl
eukaryota,has_rank,ncbitaxon_superkingdom
fungi,has_rank,ncbitaxon_kingdom
in taxon,definition source,17921072
in taxon,definition source,20973947
spatially disjoint from,definition source,22293552
connected to,definition source,22293552
connects,definition source,22293552
composed primarily of,definition source,22293552
drains,definition source,20064205
characteristic of part of,definition source,20064205
towards,definition source,20064205
directly develops from,definition source,fbbt
regulates,definition source,causal-relations
negatively regulates,definition source,causal-relations
positively regulates,definition source,causal-relations
causally downstream of or within,definition source,causal-relations
causal agent in process,definition source,causal-relations
causal relation between processes,definition source,causal-relations
causal relation between entities,definition source,causal-relations
causally influenced by,definition source,causal-relations
causally influences,definition source,causal-relations
causal relation between material entity and a process,definition source,causal-relations
capable of regulating,definition source,causal-relations
capable of negatively regulating,definition source,causal-relations
capable of positively regulating,definition source,causal-relations
process has causal agent,definition source,causal-relations
regulates,definition source,go
capable of,definition source,20123131
capable of,definition source,21208450
temporally related to,definition source,allen%27s_interval_algebra
starts,definition source,allen
develops in,definition source,ehdaa2
develops in,definition source,"jonathan bard, ehdaa2"
results in formation of anatomical entity,definition source,goc:mtg_berkeley_2013
member of,definition source,sio
has member,definition source,sio
determined by,definition source,24330602
generically depends on,definition source,[072-iso]
is carrier of,definition source,[072-iso]
mammalian meat food product,definition source,meat
hot dog,definition source,hot_dog
flour food product,definition source,wikipedia:flour
miso food product,definition source,wikipedia:miso
food (pickled),definition source,pickled_cucumber
vegetable oil food product,definition source,vegetable_fats_and_oils
flaxseed oil,definition source,nutritional_supplement_and_food
limburger cheese food product,definition source,limburger
poultry meat food product,definition source,poultry
poultry food product,definition source,poultry
tea based beverage product,definition source,tea
tea beverage (liquid),definition source,tea
maize (corn) food product,definition source,maize
confectionery food product,definition source,confectionery
prepared food product,definition source,langual_thesaurus.asp?termid=a0172
bread food product,definition source,bread
pasta food product,definition source,pasta
candy food product,definition source,candy
sausage (smoked),definition source,sausage
meat sausage (cooked),definition source,sausage
processed cheese food product,definition source,cheese
coffee beverage,definition source,coffee
fish food product,definition source,fish
custard dessert food product,definition source,custard
pecorino cheese,definition source,pecorino
food material,definition source,food
brassica food product,definition source,brassica
dessert food,definition source,dessert
population of organisms,definition source,isbn:0878932739
ecological community,definition source,isbn:0865423504
spatially disjoint from,expand expression to,bfo_0000051 exactly 0 (bfo_0000050 some ?y)
nmdc environmental context value sets,subpropertyof,subset_property
envo-lite-gsc,subpropertyof,subset_property
disposition_slim,subpropertyof,subset_property
environmental_hazards,subpropertyof,subset_property
envoanzsoil,subpropertyof,subset_property
envoastro,subpropertyof,subset_property
envocesab,subpropertyof,subset_property
envoeovs,subpropertyof,subset_property
envomarine,subpropertyof,subset_property
envomeo,subpropertyof,subset_property
envonceas,subpropertyof,subset_property
envoomics,subpropertyof,subset_property
envopolar,subpropertyof,subset_property
mpath_slim,subpropertyof,subset_property
nlcd2011,subpropertyof,subset_property
relational_slim,subpropertyof,subset_property
scalar_slim,subpropertyof,subset_property
value_slim,subpropertyof,subset_property
wwfbiome,subpropertyof,subset_property
nmdc soil value sets,subpropertyof,nmdc environmental context value sets
nmdc water value sets,subpropertyof,nmdc environmental context value sets
nmdc plantassociated value sets,subpropertyof,nmdc environmental context value sets
nmdc soil broad scale value set,subpropertyof,nmdc soil value sets
nmdc soil local scale value set,subpropertyof,nmdc soil value sets
nmdc soil environmental medium value set,subpropertyof,nmdc soil value sets
nmdc water broad scale value set,subpropertyof,nmdc water value sets
nmdc water local scale value set,subpropertyof,nmdc water value sets
nmdc water environmental medium value set,subpropertyof,nmdc water value sets
nmdc plantassociated broad scale value set,subpropertyof,nmdc plantassociated value sets
nmdc plantassociated local scale value set,subpropertyof,nmdc plantassociated value sets
nmdc plantassociated environmental medium value set,subpropertyof,nmdc plantassociated value sets
plural form,subpropertyof,synonym_type_property
part of,subpropertyof,overlaps
has part,subpropertyof,overlaps
partially overlaps,subpropertyof,overlaps
spatially coextensive with,subpropertyof,overlaps
determined by part of,subpropertyof,overlaps
preceded by,subpropertyof,ends after
precedes,subpropertyof,temporally related to
during which ends,subpropertyof,temporally related to
ends after,subpropertyof,temporally related to
during which starts,subpropertyof,temporally related to
starts during,subpropertyof,temporally related to
ends during,subpropertyof,temporally related to
starts,subpropertyof,temporally related to
starts with,subpropertyof,temporally related to
ends,subpropertyof,temporally related to
ends with,subpropertyof,temporally related to
has increased levels of,subpropertyof,has component
characteristic of,subpropertyof,characteristic of part of
function of,subpropertyof,characteristic of
quality of,subpropertyof,characteristic of
role of,subpropertyof,characteristic of
disposition of,subpropertyof,characteristic of
has function,subpropertyof,has characteristic
has quality,subpropertyof,has characteristic
has role,subpropertyof,has characteristic
has disposition,subpropertyof,has characteristic
derives from,subpropertyof,derives from part of
bounding layer of,subpropertyof,part of
starts,subpropertyof,part of
ends,subpropertyof,part of
member of,subpropertyof,part of
determined by,subpropertyof,part of
coincident with,subpropertyof,mereotopologically related to
overlaps,subpropertyof,mereotopologically related to
continuous with,subpropertyof,mereotopologically related to
spatially disjoint from,subpropertyof,mereotopologically related to
connected to,subpropertyof,mereotopologically related to
connects,subpropertyof,mereotopologically related to
attached to part of,subpropertyof,mereotopologically related to
in branching relationship with,subpropertyof,mereotopologically related to
encompasses,subpropertyof,during which starts
immediately preceded by,subpropertyof,preceded by
causally downstream of,subpropertyof,preceded by
immediately precedes,subpropertyof,precedes
causally upstream of,subpropertyof,precedes
happens during,subpropertyof,starts during
happens during,subpropertyof,ends during
in taxon,subpropertyof,evolutionarily related to
attached to part of,subpropertyof,biomechanically related to
drains,subpropertyof,connected to
attached to,subpropertyof,connected to
tributary of,subpropertyof,connected to
distributary of,subpropertyof,connected to
has component,subpropertyof,has part
starts with,subpropertyof,has part
ends with,subpropertyof,has part
has member,subpropertyof,has part
composed primarily of,subpropertyof,has part
develops from,subpropertyof,has developmental contribution from
develops from,subpropertyof,developmentally preceded by
develops in,subpropertyof,developmentally preceded by
has developmental contribution from,subpropertyof,developmentally preceded by
develops into,subpropertyof,developmentally succeeded by
developmentally contributes to,subpropertyof,developmentally succeeded by
part of developmental precursor of,subpropertyof,developmentally succeeded by
develops into,subpropertyof,has potential to develop into
has potential to directly develop into,subpropertyof,has potential to develop into
develops into,subpropertyof,has potential to directly develop into
directly develops from,subpropertyof,develops from
develops from part of,subpropertyof,develops from
transformation of,subpropertyof,develops from
directly develops into,subpropertyof,develops into
regulates,subpropertyof,causally upstream of
"causally upstream of, positive effect",subpropertyof,causally upstream of
"causally upstream of, negative effect",subpropertyof,causally upstream of
negatively regulates,subpropertyof,regulates
positively regulates,subpropertyof,regulates
negatively regulates,subpropertyof,"causally upstream of, negative effect"
positively regulates,subpropertyof,"causally upstream of, positive effect"
capable of,subpropertyof,capable of part of
contributes to,subpropertyof,capable of part of
capable of part of,subpropertyof,functionally related to
part of structure that is capable of,subpropertyof,functionally related to
input of,subpropertyof,functionally related to
output of,subpropertyof,functionally related to
involved in or involved in regulation of,subpropertyof,functionally related to
biomechanically related to,subpropertyof,functionally related to
has part structure that is capable of,subpropertyof,functionally related to
capable of part of,subpropertyof,causal agent in process
acts upstream of or within,subpropertyof,causal agent in process
involved in or involved in regulation of,subpropertyof,causal agent in process
capable of regulating,subpropertyof,causal agent in process
surrounded by,subpropertyof,adjacent to
surrounds,subpropertyof,adjacent to
adjacent to,subpropertyof,spatially disjoint from
has start location,subpropertyof,has part that occurs in
has end location,subpropertyof,has part that occurs in
has input,subpropertyof,has participant
has output,subpropertyof,has participant
developmentally contributes to,subpropertyof,has potential to developmentally contribute to
developmentally preceded by,subpropertyof,developmentally related to
results in developmental progression of,subpropertyof,developmentally related to
has developmental potential involving,subpropertyof,developmentally related to
acts upstream of,subpropertyof,acts upstream of or within
involved in or involved in regulation of,subpropertyof,acts upstream of or within
developmentally succeeded by,subpropertyof,has developmental potential involving
has potential to developmentally contribute to,subpropertyof,has developmental potential involving
has potential to develop into,subpropertyof,has developmental potential involving
results in formation of anatomical entity,subpropertyof,has output
results in formation of anatomical entity,subpropertyof,results in developmental progression of
has habitat,subpropertyof,ecologically related to
