Subject,Predicate,Object
GeochemicalProcess,hasDenitrificationRate,float
PhysiochemicalParameters,hasConductivity,float
AquiferSystem,hasAquiferDepth,float
aquifer,inAquiferWith,ChemicalComposition
AbovegroundEnvironment,isComparedTo,MicrobialCommunity
Microbes,hasMicrobialDensity,positiveInteger
InfiltrationArea,hasInfiltrationRate,float
aquifer,isHabitatDistributionFor,MicrobialSpecies
aquifer,hasAquiferID,string
GroundwaterEcosystem,hasCO2EmissionRate,float
Permeability,hasPermeabilityIndex,float
GroundwaterContamination,hasGroundwaterContaminationLevel,float
PhysiochemicalParameters,hasDOValue,float
RockType,hasRockPorosity,decimal
MicrobialFunctionalGuild,isDominantFunctionalGuildOf,aquifer
Vegetation,hasVegetationDensity,positiveInteger
Precipitation,hasPrecipitationValue,float
MicrobialCommunity,hasNitrogenContent,float
GroundwaterContamination,hasPollutionLevel,float
Biodiversity,hasBiodiversityIndex,float
MicrobialDiversity,hasBiodiversityIndex,float
GroundwaterProtection,isUsedFor,SamplingMethod
AmazonRainforestSoil,is a,SoilGroundwaterInteraction
AquaticMicrobialCommunity,is a,MicrobialCommunity
ForestMicrohabitat,is a,MicrobialCommunity
MicrobialCommunityA,is a,MicrobialCommunity
MicrobialCommunityB,is a,MicrobialCommunity
AquiferFungiSample,is a,Fungi
CO2ReductionPathway,is a,CO2FixationPathway
ChalkAquifer,is a,LimestoneAquifer
ContaminatedSite,is a,GroundwaterContamination
GroundwaterContamination1,is a,GroundwaterContamination
DeepAquifer,is a,AquiferSystem
DesertSpring,is a,Groundwater
HighCalciumWater,is a,Groundwater
KarstSpringWater,is a,Groundwater
NitrateRichWater,is a,Groundwater
FracturedRockAquifer,is a,GroundwaterQuality
HainichCZObservatory,is a,HainichCriticalZone
HydraulicConductivityStudy,is a,HydrogeochemicalCharacterizationMethod
IndustrialAgricultureArea,is a,AgriculturalActivity
KarstAquiferSystem,is a,KarstAquifer
KarstAquifer2,is a,KarstAquifer
PhosphateMinerals,is a,Mineral
RechargeZone,is a,InfiltrationArea
SeasonalWetland,is a,GroundwaterPrecipitation
SubsurfaceBacterialCulture,is a,Microbes
TriassicLimestone,is a,GeologicalFormation
aquadiva,is a,Ontology
DOCCompositionSample1,is a,DOCComposition
FracturedRockAquifer1,is a,FracturedRockAquifer
GeochemicalProcess1,is a,GeochemicalProcess
GroundwaterSample1,is a,SamplingMethod
GroundwaterVelocitySample1,is a,GroundwaterVelocity
HainichAquifer,is a,aquifer
MicrobialDiversitySample1,is a,MicrobialDiversity
PrecipitationEvent1,is a,Precipitation
RechargeRateSample1,is a,RechargeRate
adaptsTo,is a,Property
existsIn,is a,Property
hasComponents,is a,Property
hasRoleIn,is a,Property
isAffected,is a,Property
isAffectedBy,is a,Property
isAssociatedWith,is a,Property
isCharacterizedBy,is a,Property
isDefinedBy,is a,Property
isDetectedThrough,is a,Property
isFoundIn,is a,Property
isIndicatedBy,is a,Property
isInfluenced,is a,Property
isInfluencedBy,is a,Property
isInvolvedIn,is a,Property
isPhaseOf,is a,Property
isRelatedTo,is a,Property
isUsedFor,is a,Property
isUsedIn,is a,Property
occursIn,is a,Property
adaptTo,is a,Property
affect,is a,Property
affectedBy,is a,Property
define,is a,Property
detectedThrough,is a,Property
existIn,is a,Property
hasCharacteristic,is a,Property
hasComponent,is a,Property
hasPhase,is a,Property
impact,is a,Property
impacts,is a,Property
indicate,is a,Property
influence,is a,Property
influencedBy,is a,Property
interactWith,is a,Property
interactsWith,is a,Property
involvedIn,is a,Property
occurIn,is a,Property
playRoleIn,is a,Property
relatedTo,is a,Property
usedFor,is a,Property
usedIn,is a,Property
associatedWith,is a,Property
foundIn,is a,Property
existsIn,is a,FunctionalProperty
hasAquiferWith,is a,FunctionalProperty
hasRole,is a,FunctionalProperty
isComparedTo,is a,FunctionalProperty
isContributedBy,is a,FunctionalProperty
isImpactedBy,is a,FunctionalProperty
isModeledAfter,is a,FunctionalProperty
isPresentIn,is a,FunctionalProperty
isUsedFor,is a,FunctionalProperty
affects,is a,FunctionalProperty
define,is a,FunctionalProperty
dominatesIn,is a,FunctionalProperty
hasCharacteristic,is a,FunctionalProperty
hasComponent,is a,FunctionalProperty
hasDominantFunctionalGuild,is a,FunctionalProperty
hasHabitatDistribution,is a,FunctionalProperty
hasPhase,is a,FunctionalProperty
inAquiferWith,is a,FunctionalProperty
influences,is a,FunctionalProperty
maintains,is a,FunctionalProperty
playsRoleIn,is a,FunctionalProperty
usedIn,is a,FunctionalProperty
associatedWith,is a,FunctionalProperty
hasAnnualRainfall,is a,DatatypeProperty
hasAquiferDepth,is a,DatatypeProperty
hasAquiferID,is a,DatatypeProperty
hasBiodiversityIndex,is a,DatatypeProperty
hasCO2EmissionRate,is a,DatatypeProperty
hasCarbonIsotopeRatio,is a,DatatypeProperty
hasCellCount,is a,DatatypeProperty
hasChemicalConcentration,is a,DatatypeProperty
hasCommunityDiversityIndex,is a,DatatypeProperty
hasConductivity,is a,DatatypeProperty
hasConductivityValue,is a,DatatypeProperty
hasDOCConcentration,is a,DatatypeProperty
hasDOValue,is a,DatatypeProperty
hasDenitrificationRate,is a,DatatypeProperty
hasGroundwaterContaminationLevel,is a,DatatypeProperty
hasGroundwaterVelocityValue,is a,DatatypeProperty
hasInfiltrationRate,is a,DatatypeProperty
hasManagementEffectivenessScore,is a,DatatypeProperty
hasMicrobialCommunityID,is a,DatatypeProperty
hasMicrobialDensity,is a,DatatypeProperty
hasMineralDensity,is a,DatatypeProperty
hasNitrogenContent,is a,DatatypeProperty
hasNitrogenLevel,is a,DatatypeProperty
hasOrganicMatterContent,is a,DatatypeProperty
hasOxygenContent,is a,DatatypeProperty
hasPHLevel,is a,DatatypeProperty
hasPHValue,is a,DatatypeProperty
hasPermeabilityIndex,is a,DatatypeProperty
hasPollutionLevel,is a,DatatypeProperty
hasPrecipitationDate,is a,DatatypeProperty
hasPrecipitationValue,is a,DatatypeProperty
hasRechargeRateValue,is a,DatatypeProperty
hasRockPorosity,is a,DatatypeProperty
hasSampleID,is a,DatatypeProperty
hasSamplingDate,is a,DatatypeProperty
hasSamplingDepth,is a,DatatypeProperty
hasSamplingLocation,is a,DatatypeProperty
hasSamplingTemperature,is a,DatatypeProperty
hasSoilMoistureContent,is a,DatatypeProperty
hasSpeciesCount,is a,DatatypeProperty
hasTemperature,is a,DatatypeProperty
hasTraceGasConcentration,is a,DatatypeProperty
hasVegetationDensity,is a,DatatypeProperty
hasWaterFlowSpeed,is a,DatatypeProperty
hasAquiferWith,is a,ObjectProperty
hasChangedBy,is a,ObjectProperty
hasComparison,is a,ObjectProperty
hasInteractionWith,is a,ObjectProperty
hasRole,is a,ObjectProperty
isAffectedBy,is a,ObjectProperty
isBehaviorAffectedBy,is a,ObjectProperty
isComparedTo,is a,ObjectProperty
isContributedBy,is a,ObjectProperty
isDominantFunctionalGuildOf,is a,ObjectProperty
isDominatedIn,is a,ObjectProperty
isFoundIn,is a,ObjectProperty
isHabitatDistributionFor,is a,ObjectProperty
isImpactedBy,is a,ObjectProperty
isInfluencedBy,is a,ObjectProperty
isInstructedBy,is a,ObjectProperty
isModeledAfter,is a,ObjectProperty
isPartOf,is a,ObjectProperty
isPresentIn,is a,ObjectProperty
isRoleOf,is a,ObjectProperty
isSimilarTo,is a,ObjectProperty
isUsedFor,is a,ObjectProperty
variedBy,is a,ObjectProperty
affects,is a,ObjectProperty
affectsBehaviorOf,is a,ObjectProperty
changesWith,is a,ObjectProperty
contributeTo,is a,ObjectProperty
dominatesIn,is a,ObjectProperty
hasDominantFunctionalGuild,is a,ObjectProperty
hasHabitatDistribution,is a,ObjectProperty
hasPart,is a,ObjectProperty
inAquiferWith,is a,ObjectProperty
influences,is a,ObjectProperty
interactsWith,is a,ObjectProperty
maintains,is a,ObjectProperty
playsRoleIn,is a,ObjectProperty
presentIn,is a,ObjectProperty
variesBetween,is a,ObjectProperty
associatedWith,is a,ObjectProperty
comparedTo,is a,ObjectProperty
foundIn,is a,ObjectProperty
hasInteractionWith,is a,SymmetricProperty
isAssociatedWith,is a,SymmetricProperty
isComparedTo,is a,SymmetricProperty
isInfluencedBy,is a,SymmetricProperty
isModeledAfter,is a,SymmetricProperty
isPartOf,is a,SymmetricProperty
isRelatedTo,is a,SymmetricProperty
isSimilarTo,is a,SymmetricProperty
interactWith,is a,SymmetricProperty
interactsWith,is a,SymmetricProperty
associatedWith,is a,SymmetricProperty
hasRole,is a,ReflexiveProperty
isImpactedBy,is a,ReflexiveProperty
isInfluencedBy,is a,ReflexiveProperty
isModeledAfter,is a,ReflexiveProperty
isPartOf,is a,ReflexiveProperty
isRelatedTo,is a,ReflexiveProperty
isSimilarTo,is a,ReflexiveProperty
affects,is a,ReflexiveProperty
dominatesIn,is a,ReflexiveProperty
hasPart,is a,ReflexiveProperty
interactsWith,is a,ReflexiveProperty
maintains,is a,ReflexiveProperty
associatedWith,is a,ReflexiveProperty
isAffectedBy,is a,TransitiveProperty
isAssociatedWith,is a,TransitiveProperty
isImpactedBy,is a,TransitiveProperty
isModeledAfter,is a,TransitiveProperty
isPartOf,is a,TransitiveProperty
occursIn,is a,TransitiveProperty
affects,is a,TransitiveProperty
dominatesIn,is a,TransitiveProperty
hasPart,is a,TransitiveProperty
influences,is a,TransitiveProperty
associatedWith,is a,TransitiveProperty
