Subject,Predicate,Object
MicrobialFunctionalGuild,hasSpeciesCount,nonNegativeInteger
MicrobialActivity,hasAssociationWith,AquiferChemicalData
AquiferChemicalData,hasCarbonConcentration,float
AquiferMicrobes,influencedBy,ChemicalComposition
EnvironmentalConditions,hasEnvironmentalFactor,string
AquaticFungi,influencesAbundanceOf,Heterotrophs
MicrobialFunctionalGuild,existsIn,SubsurfaceEcosystem
AquiferPorosity,hasPorosity,float
AquiferMicrobes,respondsTo,EnvironmentalConditions
aquadiva,is a,Ontology
foundIn,is a,ObjectProperty
hasSpecies,is a,ObjectProperty
interactsWith,is a,ObjectProperty
playsRoleIn,is a,ObjectProperty
presentIn,is a,ObjectProperty
adaptedTo,is a,ObjectProperty
contributesTo,is a,ObjectProperty
existsIn,is a,ObjectProperty
impacts,is a,ObjectProperty
metabolizes,is a,ObjectProperty
metabolicInteractionWith,is a,ObjectProperty
influences,is a,ObjectProperty
associatedWith,is a,ObjectProperty
correlatedWith,is a,ObjectProperty
triggers,is a,ObjectProperty
influencesAbundanceOf,is a,ObjectProperty
usedToAssess,is a,ObjectProperty
indicatesHealthOf,is a,ObjectProperty
isFoundIn,is a,ObjectProperty
isSpeciesOf,is a,ObjectProperty
interactedBy,is a,ObjectProperty
hasRolePlayedBy,is a,ObjectProperty
hasPresenceOf,is a,ObjectProperty
hasAdaptationBy,is a,ObjectProperty
hasContributionFrom,is a,ObjectProperty
contains,is a,ObjectProperty
impactedBy,is a,ObjectProperty
metabolizedBy,is a,ObjectProperty
hasMetabolicInteractionFrom,is a,ObjectProperty
influencedBy,is a,ObjectProperty
hasAssociationWith,is a,ObjectProperty
hasCorrelationWith,is a,ObjectProperty
triggeredBy,is a,ObjectProperty
hasAbundanceInfluencedBy,is a,ObjectProperty
assessedBy,is a,ObjectProperty
hasHealthIndicatedBy,is a,ObjectProperty
isSimilarTo,is a,ObjectProperty
engagesIn,is a,ObjectProperty
inhabits,is a,ObjectProperty
alters,is a,ObjectProperty
dependsOn,is a,ObjectProperty
modifies,is a,ObjectProperty
respondsTo,is a,ObjectProperty
mediates,is a,ObjectProperty
utilizes,is a,ObjectProperty
oxidizes,is a,ObjectProperty
fixes,is a,ObjectProperty
haspH,is a,DatatypeProperty
hasTemperature,is a,DatatypeProperty
hasSalinity,is a,DatatypeProperty
hasDissolvedOxygen,is a,DatatypeProperty
hasCode,is a,DatatypeProperty
hasFeatureValue,is a,DatatypeProperty
hasSpecifiedValue,is a,DatatypeProperty
hasPHValue,is a,DatatypeProperty
hasActivityLevel,is a,DatatypeProperty
hasSpeciesCount,is a,DatatypeProperty
hasCarbonUtilizationRate,is a,DatatypeProperty
hasNitrogenFixationRate,is a,DatatypeProperty
hasRarityIndex,is a,DatatypeProperty
hasPopulationSize,is a,DatatypeProperty
hasEnvironmentalFactor,is a,DatatypeProperty
hasPressureLevel,is a,DatatypeProperty
hasTrophicLevel,is a,DatatypeProperty
hasEnergyTransferRate,is a,DatatypeProperty
hasOxygenConcentration,is a,DatatypeProperty
hasCarbonConcentration,is a,DatatypeProperty
hasNitrogenConcentration,is a,DatatypeProperty
hasPorosity,is a,DatatypeProperty
hasPermeability,is a,DatatypeProperty
hasMethaneProductionRate,is a,DatatypeProperty
hasSulfurOxidationRate,is a,DatatypeProperty
species1,is a,AquiferMicrobes
GeobacterSulfureducens,is a,AquiferMicrobes
DesulfovibrioDesulfuricans,is a,AquiferMicrobes
NitrosomonasEuropa,is a,AquiferMicrobes
species2,is a,AquaticFungi
aquifer1,is a,Aquifer
KarstAquifer,is a,Aquifer
PorousAquifer,is a,Aquifer
FracturedRockAquifer,is a,Aquifer
subsurfaceEco1,is a,SubsurfaceEcosystem
hasDefinition,is a,AnnotationProperty
interactsWith,is a,ReflexiveProperty
metabolicInteractionWith,is a,ReflexiveProperty
impacts,is a,ReflexiveProperty
isSimilarTo,is a,ReflexiveProperty
hasContributionFrom,is a,ReflexiveProperty
associatedWith,is a,ReflexiveProperty
correlatedWith,is a,ReflexiveProperty
interactsWith,is a,SymmetricProperty
metabolicInteractionWith,is a,SymmetricProperty
correlatedWith,is a,SymmetricProperty
associatedWith,is a,SymmetricProperty
isSimilarTo,is a,SymmetricProperty
hasSpecies,is a,FunctionalProperty
foundIn,is a,FunctionalProperty
playsRoleIn,is a,FunctionalProperty
presentIn,is a,FunctionalProperty
adaptedTo,is a,FunctionalProperty
contributesTo,is a,FunctionalProperty
existsIn,is a,FunctionalProperty
hasCode,is a,FunctionalProperty
inhabits,is a,FunctionalProperty
dependsOn,is a,FunctionalProperty
interactsWith,is a,TransitiveProperty
contributesTo,is a,TransitiveProperty
correlatedWith,is a,TransitiveProperty
hasSpecies,is a,TransitiveProperty
foundIn,is a,TransitiveProperty
isSimilarTo,is a,TransitiveProperty
adaptedTo,is a,TransitiveProperty
modifies,is a,TransitiveProperty
respondsTo,is a,TransitiveProperty
AspergillusFumigatus,is a,AquiferFungi
PenicilliumChrysogenum,is a,AquiferFungi
ThiobacillusDenitrificans,is a,RareSpecies
GallionellaFerruginea,is a,RareSpecies
SulfateReducers,is a,MicrobialFunctionalGuild
NitrogenFixers,is a,MicrobialFunctionalGuild
IronOxidizers,is a,MicrobialFunctionalGuild
AnoxicConditions,is a,EnvironmentalConditions
HighSalinity,is a,EnvironmentalConditions
LowpH,is a,EnvironmentalConditions
PrimaryProducers,is a,TrophicRelationships
SecondaryConsumers,is a,TrophicRelationships
TertiaryConsumers,is a,TrophicRelationships
